STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-21,,95,74,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-22,,74,68,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-23,,74,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-24,,77,66,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-25,,78,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-26,,79,68,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-27,,75,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-28,,82,69,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-29,,78,71,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-30,,71,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-08-31,,67,58,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-01,,59,51,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-02,,62,55,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-03,,71,57,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-04,,78,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-05,,78,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-06,,76,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-07,,79,72,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-08,,76,71,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-09,,71,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-10,,68,57,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-11,,71,58,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-12,,73,59,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-13,,77,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-14,,73,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-15,,72,61,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-16,,76,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-17,,66,65,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-18,,66,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-19,,75,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-20,,86,67,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-21,,73,64,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-22,,64,61,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-23,,68,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-24,,71,61,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-25,,71,63,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-26,,71,58,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-27,,58,50,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-28,,56,46,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-29,,65,51,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-09-30,,70,55,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-01,,74,55,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-02,,70,55,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-03,,71,62,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-04,,70,54,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-05,,59,50,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-06,,61,46,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-07,,63,48,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-08,,70,53,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-09,,66,52,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-10,,69,58,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-11,,63,53,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-12,,64,53,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-13,,64,46,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-14,,58,42,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-15,,61,51,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-16,,53,44,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-17,,59,40,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-18,,53,45,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-19,,49,41,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-20,,48,37,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-21,,52,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-22,,58,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-23,,62,47,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-24,,60,41,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-25,,45,36,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-26,,47,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-27,,39,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-28,,44,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-29,,46,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-30,,40,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-31,,41,32,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-01,,41,30,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-02,,50,38,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-03,,52,40,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-04,,61,42,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-05,,53,47,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-06,,48,42,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-07,,43,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-08,,39,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-09,,44,35,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-10,,41,31,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-11,,43,34,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-12,,43,36,
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-13,,46,37,
