Well_ID,Lat,Lon,Depth,Drink,Si,P,S,Ca,Fe,Ba,Na,Mg,K,Mn,As,Sr,F,Cl,SO4,Br
1109,23.777133,90.618983,30,Y,29781.22,0.37935,16946.13,43156.4,1.79694,112.73,25.2536,29.81,10770.8,2.62,56.13,181.78,0.1069,39.0791,48.6519,0.0169
1110,23.77855,90.619333,45,Y,31951.18,0.11174,45035.46,108431.01,3.47797,274.79,99.73196,68.01,13377.26,3.93,26.96,439.84,0.0852,192.6102,125.317,0.0598
1115,23.777933,90.619683,45,Y,26235.24,0.417,4949.48,33818.25,1.57563,60.44,22.41454,23.6,3204.43,2.65,93.65,142.68,0.0706,29.0238,14.4862,0.0118
1118,23.778333,90.619217,60,N,28926.84,0.15331,984.55,37769.65,2.16083,78.73,14.42902,16,3351.07,1.79,86.07,152.43,0.1629,15.8943,2.7792,0.0082
1130,23.777317,90.614733,30,Y,45199.27,0.33083,12741.86,33612.29,0.22285,168.49,79.34597,36.31,44273.15,0.74,2.04,86.22,0.0984,108.7608,33.0297,0.0692
1133,23.7765,90.614067,30,Y,37457.48,0.12093,15861.84,34454.11,0.5834,163.71,57.89679,27.91,42938.09,0.77,1.08,99.55,0.0988,90.858,42.6469,0.0618
1143,23.77875,90.619117,45,Y,34257.65,0.27887,20592.27,23702.33,14.76675,126.74,60.0119,14.98,7509.29,2.37,42.49,105.39,0.0676,83.5588,54.9885,0.032
1145,23.778717,90.619467,45,N,,,,,,,,,,,,,,,,
1161,23.779383,90.616067,45,Y,30086.74,0.11495,3557.26,19039.57,2.75018,39,6.44054,13.93,2427.53,0.56,19.55,56.67,0.1948,5.5175,9.6101,0.0058
1165,23.77615,90.615833,45,Y,25736.75,0.02927,3404.51,30654.75,0.53288,121.86,21.6125,20.8,3794.85,3.58,0.15,144.56,0.0571,32.1557,8.8816,0.0236
1168,23.776467,90.61575,45,Y,25611.2,0.04273,9410.64,15194.39,0.30061,49.56,26.21305,9.38,3108.93,0.32,0.49,57.13,0.0744,21.5591,25.0938,0.0136
1231,23.77655,90.612067,45,Y,36347.96,0.06208,8975.35,30435.99,2.15089,79.37,31.7507,22.47,3601.28,1.44,8.57,113.19,0.0796,27.9196,22.2377,0.0164
1241,23.7762,90.612617,30,Y,,,,,,,,,,,,,,,,
1245,23.776283,90.612983,35,Y,36286.39,0.0638,8966.14,30310.8,2.17574,79.83,32.61717,23.3,3747.3,1.48,8.77,116.9,0.0531,97.9992,48.1224,0.0422
1277,23.775117,90.6095,30,Y,,,,,,,,,,,,,,,,
1280,23.775533,90.609733,30,N,,,,,,,,,,,,,,,,
1303,23.775367,90.6086,30,Y,,,,,,,,,,,,,,,,
1315,23.774333,90.608233,90,Y,,,,,,,,,,,,,,,,
1343,23.7726,90.604217,45,Y,33800.88,0.09438,8853.07,34823.61,0.62457,73.81,28.17536,24.7,4159.94,1.85,7.9,130.13,0.0779,37.0899,23.092,0.02
1347,23.77265,90.6037,45,Y,,,,,,,,,,,,,,,,
1356,23.772033,90.602867,45,Y,,,,,,,,,,,,,,,,
1367,23.771583,90.60355,45,Y,,,,,,,,,,,,,,,,
1378,23.771367,90.6032,60,Y,24295.41,0.05662,4858.96,29432.28,2.70967,71.17,17.99463,20.06,4355,2.47,21.93,125.27,0.0295,16.1935,12.5469,0.0203
1390,23.770233,90.60225,45,Y,40502.23,0.39746,7347,40166.83,2.6113,81.13,18.61489,21.07,3325,1.82,29.8,167.32,0.0737,11.2285,19.2442,0.0097
1393,23.769883,90.60235,50,Y,,,,,,,,,,,,,,,,
1394,23.7698,90.60255,60,Y,,,,,,,,,,,,,,,,
1400,23.777133,90.6121,45,Y,37791.41,0.02994,5312.5,44768.78,0.60956,139.17,40.85758,20.19,8843.19,1.87,0.61,162.83,0.1421,33.8284,13.2967,0.0153
140000,23.777133,90.6121,45,Y,,,,,,,,,,,,,,,,
1406,23.777383,90.61195,30,Y,25863.98,0.01916,7776.76,29525.06,2.66864,63.22,18.77224,16.22,2722.18,0.09,0.26,97.35,0.1162,34.2936,21.0141,0.0199
1407,23.777517,90.612,30,Y,,,,,,,,,,,,,,,,
1410,23.77765,90.612117,45,N,39049.01,0.35047,15549.39,42709.55,7.03329,111.31,28.3132,22.14,3374.04,3.62,83.43,187.85,0.0741,42.7836,41.2942,0.0193
1418,23.768867,90.6028,60,Y,26629.18,0.01908,3051.56,22141.77,0.27093,46.47,14.62759,13.36,3914.91,0.84,3.23,92.21,0.0518,7.7232,8.0195,0.0247
1422,23.76825,90.602667,60,Y,30684.2,0.36033,409,14581.94,5.58568,33.62,10.23554,5.93,2677.34,1.51,65.03,47.38,0.1625,7.4413,1.0063,0.0134
1429,23.76775,90.602817,40,Y,37784.24,0.14626,3834.2,30506.75,2.84494,58.47,11.63475,13.78,2781.45,2.41,44.02,139.41,0.0691,11.9826,9.9481,0.0156
1432,23.7669,90.603883,90,Y,27088.51,0.56477,1251.76,22376.97,11.14798,72.15,12.12217,10.62,2634.25,0.99,10.69,86.01,0.0836,9.4639,3.3444,0.0149
1434,23.766467,90.6038,45,Y,32569.74,0.72474,2783.64,35657.69,15.09729,114.54,12.94695,19.26,3307.6,1.95,6.23,142.67,0.0821,20.6412,6.7691,0.0186
1437,23.8057,90.637233,45,Y,,,,,,,,,,,,,,,,
1440,23.805533,90.63675,45,Y,,,,,,,,,,,,,,,,
1450,23.804883,90.637383,45,Y,40076.94,0.12545,7239.09,48292.14,1.57196,80.44,23.87492,21.79,3450.9,2.45,62.4,169.98,0.1421,42.6771,17.9146,0.0234
1465,23.804183,90.636283,45,Y,34449.24,0.13621,3042.35,27407.47,0.49001,59.26,19.0713,21.69,8261.75,0.59,4.45,82.56,0.1631,19.0059,7.7467,
1469,23.803767,90.635617,45,Y,,,,,,,,,,,,,,,,
1493,23.7995,90.6218,60,Y,62356,4.26204,1.67,27613.5,5.23493,39.37,48.82369,41.51,9693.89,0.07,39.87,280.73,0.2101,60.6482,,0.0814
1498,23.7994,90.62285,45,Y,,,,,,,,,,,,,,,,
1500,23.799383,90.622833,60,Y,,,,,,,,,,,,,,,,
1504,23.799617,90.6233,65,Y,62688.99,4.05799,-7.63,22637.16,4.66648,25.09,34.15923,37.6,7133.57,0.08,17.71,200.96,0.216,61.4258,,0.1251
1509,23.7992,90.623817,60,Y,,,,,,,,,,,,,,,,
1513,23.7982,90.62535,45,Y,56369.92,3.86195,2154.5,47757.57,9.12676,122.6,38.19358,76.97,9991.03,0.45,23.88,397.11,0.292,83.3378,4.9341,0.0737
1514,23.798417,90.625433,60,Y,,,,,,,,,,,,,,,,
1515,23.798583,90.625517,105,Y,,,,,,,,,,,,,,,,
1518,23.799883,90.624617,45,Y,,,,,,,,,,,,,,,,
1523,23.799067,90.62625,130,Y,,,,,,,,,,,,,,,,
1534,23.796817,90.62805,45,Y,,,,,,,,,,,,,,,,
1542,23.796083,90.6294,45,Y,38055.13,0.13266,17046.79,56934.98,4.88119,161.71,36.30583,36.39,8236.96,1.44,38.2,204.97,0.0948,96.7537,45.1097,0.0356
1546,23.796767,90.629967,30,Y,35539.23,1.68826,288.21,36920.9,7.48109,75.26,13.40451,18.88,2902.78,1,41.78,153.31,0.1577,15.1055,0.6996,0.0128
1551,23.796217,90.630017,30,Y,,,,,,,,,,,,,,,,
1563,23.7954,90.628867,30,Y,,,,,,,,,,,,,,,,
1583,23.782017,90.636833,45,N,48760.85,1.95207,39385.05,116040.62,8.90861,223.87,48.07584,43.89,5137.54,2.94,251.56,498.99,0.1938,115.5793,,0.035
1587,23.779933,90.63,45,Y,39978.99,1.45012,1039.19,26572.95,1.75785,35.19,9.96797,8.65,2247.48,0.26,122.32,114.15,0.1971,6.5818,2.5382,
1606,23.789033,90.633833,45,Y,41206.41,2.58407,-18.22,53456.49,6.19736,96.72,27.20776,16.45,3429.18,0.85,148.84,252.32,,,,
1639,23.7889,90.636033,210,Y,,,,,,,,,,,,,,,,
1646,23.789383,90.63635,75,Y,36938.92,1.30263,150.04,51634.46,11.78084,86.47,14.26337,20.23,3376.71,1.01,216.58,241.06,0.2116,17.3713,0.4071,0.0233
1651,23.788983,90.6374,60,Y,34710.98,0.92183,6845.59,38325.2,24.16738,184.46,38.09861,21.83,4184.29,1.44,33.52,161.94,0.0724,51.3535,17.4455,0.083
1657,23.788717,90.638233,110,Y,36807.93,1.40889,-23.72,65266.94,7.9109,77.54,15.17329,22.23,3485,0.43,181.16,273.49,0.157,16.8998,0.1428,0.0213
1671,23.785583,90.62765,60,Y,,,,,,,,,,,,,,,,
1672,23.785317,90.62765,75,Y,,,,,,,,,,,,,,,,
1688,23.786183,90.62735,114,Y,38943.68,0.55899,-28.5,43992.4,13.90031,102.22,14.35242,17.4,3323.32,1.62,339.3,225.76,0.2133,2.9106,0.134,0.0133
1691,23.784317,90.62925,45,N,,,,,,,,,,,,,,,,
1697,23.783833,90.629833,60,N,,,,,,,,,,,,,,,,
1698,23.78435,90.629883,45,N,,,,,,,,,,,,,,,,
1699,23.7838,90.629233,52,N,36134.14,1.14313,-30.7,46306.98,10.45244,119.41,20.59143,16.43,3880.9,0.61,184.94,233.88,0.206,25.3858,0.1874,0.0237
1704,23.78385,90.629067,45,Y,,,,,,,,,,,,,,,,
1709,23.783917,90.628917,45,Y,,,,,,,,,,,,,,,,
1716,23.783783,90.629717,95,Y,50755.27,0.12099,16573.72,59451.9,6.98845,108.04,36.45165,38.89,4049.22,1.07,14.97,188.09,0.1012,91.0385,44.2928,0.051
1731,23.782567,90.63035,55,Y,34181,0.0212,18089.07,57223.46,0.10606,234.44,44.85599,40.36,22363.17,0.26,0.37,213.07,0.2397,99.4572,47.5573,0.049
1735,23.782433,90.630383,60,Y,,,,,,,,,,,,,,,,
