STATION,NAME,DATE,DASF,MDSF,PRCP,SNOW
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-19,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-20,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-21,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-22,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-23,,,0.51,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-24,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-26,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-27,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-28,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-29,,,0.03,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-30,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-10-31,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-01,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-02,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-03,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-05,,,0.02,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-06,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-10,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-13,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-15,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-16,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-17,,,0.9,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-18,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-19,,,0.01,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-20,,,0.18,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-21,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-22,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-23,,,0.08,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-24,,,0.68,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-25,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-26,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-27,,,0.14,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-28,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-29,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-11-30,,,0.02,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-01,,,0.07,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-02,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-03,,,0.03,0.3
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-04,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-05,,,0.08,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-06,,,0.71,5
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-07,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-08,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-09,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-10,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-11,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-12,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-13,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-14,,,0,0
USW00094728,"NY CITY CENTRAL PARK, NY US",1869-12-15,,,0,0
